maxIterations,maxTabuCount,maxCandidates,solution,efficacy,executionTime
100,20,45,8747.64,0.16,0.54
50,20,45,10375.22,0.38,0.25
70,20,45,8925.98,0.18,0.36
120,20,45,9014.66,0.2,0.62
150,20,45,8231.13,0.09,0.78
