maxIterations,maxTabuCount,maxCandidates,solution,efficacy,executionTime
70,3,52,9976.81,0.32,0.4
50,3,52,10718.46,0.42,0.23
120,3,52,8693.32,0.15,0.56
150,3,52,8003.74,0.06,0.69
120,20,45,8855.33,0.17,0.61
150,20,45,8747.37,0.16,0.77
